Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,108 [6-7th],Max Jumps,2,Jab 1,4-6,20,3,361,10,50.0,Nair (Early),7-8,44,6,361,50,100.0,18,"1-6, 42>",Clown Cannon (No Charge),43-,81,8.5,50.0,40,82.0
Run Speed,1.424 [48th],Wall Jump,No,Jab 2,4-6,40,2,80/70,24,50.0,Nair,9-13,-,5,361,40,100.0,-,-,"Clown Cannon (No Charge, Late)",?,-,5.9,50.0,40,82.0
Walk Speed,0.88 [48th],Wall Cling,No,"Rapid Jab (Hit 1, 3, 5...)",-,-,2,74/92,20,20.0,Nair (Late),14-19,-,3,361,30,100.0,-,-,Clown Cannon (Full Charge),103-,141,20,50.0,40,82.0
Air Speed,1.08 [21-23rd],Crawl,No,"Rapid Jab (Hit 2, 4, 6...)",-,-,2,74,20,20.0,Fair (Early),10-13,44,11/9,45,33,93.0,27,"1-2, 34>","Clown Cannon (Full Charge, Late)",?,-,14,50.0,40,82.0
Fall Speed,1.65 [17-21st],Tether,No,Rapid Jab Finisher,9-11,40,3,361,60,170.0,Fair,14-17,-,9/7,45,33,93.0,-,-,Clown Kart Dash (Ground Dash),20- (Jump Cancellable: Frame 21-),-,4,80.0,60,80.0
Fast Fall Speed,2.64 [18-22nd],Jumpsquat,6 frames,Dash Attack,8-20 (Rehit rate: 3),50,1.5,25,0,100.0,Fair (Late),18-23,-,7/5,45,33,93.0,-,-,Clown Kart Dash (Spinout),5-12,-,8,361.0,60,80.0
Air Acceleration,0.07,Soft Landing Lag,2 frames,Dash Attack (Final Hit),25-26,-,4,60,100,70.0,Fair (Landing),2 (Ground Only),-,2,60,60,100.0,-,-,Abandon Ship! (Initial),21-22,-,5,80.0,50,25.0
Gravity,0.092,Hard Landing Lag,4 frames,Ftilt (All Angles),7-9,34,8,361,30,110.0,Bair,12-13,46,14/8,361,30/7,92.0,24,"1-11, 30>",Abandon Ship! (Explosion),60-61,-,13,55.0,85,70.0
SH Air Time,38 frames,FH Air Time,57 frames,Utilt,7-14,33,6,97,48,99.0,Bair (Late),14-18,-,10,361,7,92.0,-,-,Abandon Ship! (Hammer),"8, 13",40,15/10,361.0,50,90.0
,,,,Dtilt (Hit 1),4-6,41,1.5,94/45,W: 30,100.0,Uair,6-9,26,10,68,30,100.0,15,16>,Mechakoopa (Projectile),"54-197 (Tackle), 258 (Generated on: Frame 13)",68,2,85.0,W: 68,100.0
,,,,Dtilt (Hit 2),12-14,-,1.5,94/55,W: 30,100.0,Uair (Late),10-13,-,6.5,68,30,80.0,-,-,Mechakoopa (Explosion),-,-,7,50.0,70,70.0
,,,,Dtilt (Hit 3),23-25,-,5,45,20,150.0,Dair,15-38 (Rehit rate: 4),57,1.3,270/366/365,W: 30/B: 30/30,100.0,25,54>,,,,,,,
,,,,Fsmash,18-32 (Rehit rate: 3),56,1,93,20,10.0,Dair (Final Hit),39 (Aerial Only),-,2,64,70,130.0,-,-,,,,,,,
,,,,Fsmash (Final Hit),36-38,-,11,46,40,136.0,Dair (Landing),1-2,26 (On Hit),2,50,40,180.0,-,-,,,,,,,
,,,,Usmash (Launcher),7-9 (Ground Only),57,1,97,W: 80,100.0,,,,,,,,,,,,,,,,
,,,,Usmash,10-24 (Rehit rate: 4),-,1.3,110/190/140,W: 12/17/50,100.0,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 6),25,-,1,120,W: 35,100.0,,,,,,,,,,,,,,,,
,,,,Usmash (Final Hit),30-31,-,6,85,32,175.0,,,,,,,,,,,,,,,,
,,,,Dsmash,15-16,60,18,53,40,89.0,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,12-13,36,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,13-14,45,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,12-13,42,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,"3, 6",45,60,70,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,12,45,50,65,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,7,80,55,85,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"0.5 (Rehit rate: 5), 4",55,80,110,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-18,28,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-28,34,,,,,,,,,,,,,,,,,,,,
