Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,130 [1st],Max Jumps,2,Jab 1,7-9 (Arm Intangible: 7-9),21,5,30/50/85,W: 45/30/18,100,Nair (Hit 1),8-29,48,6,75.0,20.0,50.0,20,"1-3, 45>",Fire Breath,"23, 30, 37, 44...",78,1.2,55,20,30
Run Speed,1.792 [17th],Wall Jump,No,Jab 2,9-11 (Arm Intangible: 9-11),26,6.5,361,50,100,Nair (Hit 2),14-29,-,6,75.0,20.0,100.0,-,-,Fire Breath (Flinchless),"28, 35, 42, 49...",-,1.2,65,20,30
Walk Speed,0.858 [53rd],Wall Cling,No,Dash Attack,11-14,56,12 (+1),80,110,35,Nair (Hit 3),18-29,-,6,75.0,60.0,90.0,-,-,"Flying Slam (Command Grab, Ground)",8,43,-,-,-,-
Air Speed,1 [31-34th],Crawl,Yes,Dash Attack (Late),15-20,-,10 (+1),80,80,30,Nair (Hit 4),18-29,-,6,75.0,60.0,90.0,-,-,"Flying Slam (Command Grab, Aerial)",17,50,-,-,-,-
Fall Speed,1.39 [42nd],Tether,No,Ftilt (All Angles),10-14 (Arm Intangible: 10-14),38,12,361,45,83,Fair,11-14,42,13/12/11,361.0,40.0,80.0,24,"1-3, 31>",Flying Slam (Hitbox),-,-,18,60,80,60
Fast Fall Speed,2.224 [42nd],Jumpsquat,8 frames,Utilt,11-16 (Arm Intangible: 12-16),41,9,100,55,97,Bair,9-11,45,19,35.0,20.0,88.0,40,"1-2, 31>",Whirling Fortress (Ground),6-38 (Rehit rate: 5),82,1,180,W: 50/70/70,100
Air Acceleration,0.04,Soft Landing Lag,2 frames,Dtilt (Hit 1),10-12 (Arm Intangible: 10-12),46,14,361,20,100,Uair,9-13 (Head Intangible: 3-13),45,15,85.0,35.0,85.0,28,"1-2, 40>","Whirling Fortress (Final Hit, Ground)",39,-,4,60,70,150
Gravity,0.11,Hard Landing Lag,6 frames,Dtilt (Hit 2),20-22 (Arm Intangible: 20-22),-,11,361,12,100,Dair (Meteor),17-24,78,16,275.0,30.0,100.0,40,"1-13, 70>","Whirling Fortress (Aerial, Hit 1)",6-7,-,10,80,80,60
SH Air Time,34 frames,FH Air Time,54 frames,Fsmash,22-23 (Legs Intangible: 20-25),70,23/20,361,25,98,Dair,25-49,-,16,56.0,30.0,100.0,-,-,"Whirling Fortress (Aerial, Hits 2-6)","8-11, 12-15, 16-19, 20-23, 24-27",-,3,84,50,20
,,,,Fsmash (Late),24-27 (Cannot Rebound),-,17/14,361,10,103,Dair (Landing),1-3 (Ground Only),-,2,20.0,60.0,30.0,-,-,"Whirling Fortress (Aerial, Hits 7-11)","28-31, 32-35, 36-39, 40-43, 44-47",-,2,84,50,20
,,,,Usmash,"16-23 (Shell Invincibility: 14-27, Cannot Rebound)",58,20/15/15,90/70/120,23,90/100/100,,,,,,,,,,Bowser Bomb (Hit 1),11,-,4,85,W: 90,100
,,,,Usmash (Landing),37 (Ground Only),-,6,70,80,100,,,,,,,,,,Bowser Bomb (Hit 2),38-,-,20 (+5),76,45,75
,,,,Dsmash (Hit 1),10,72,2,150,W: 60,100,,,,,,,,,,Bowser Bomb (Landing),1-2 (Ground Only),56,11 (+5),76,60,72
,,,,Dsmash (Hit 2-6),"14-15, 17-18, 20-21, 23-24, 26-27",-,1,150/150/190/190,40,50,,,,,,,,,,Bowser Bomb (Aerial),32-,-,20 (+5),76,45,75
,,,,Dsmash (Hit 7),31,-,9,48,40,130,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,9-10,39,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,10-11,48,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,11-12,46,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,12,45,60,66,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,12,45,60,66,,,,,,,,,,,,,,,,,
,,,,Uthrow (Luigi Dthrow Reincarnated),No,"0.5%×7, 1, 2",82,25,180,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"10, 2",50,90,50,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,4-19,29,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-19,34,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-19,34,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,4-29,35,,,,,,,,,,,,,,,,,,,,
