Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,116 [4th],Max Jumps,3,Jab 1,4-5,23,3,120/361/361,W: 26/22/22,100,Nair,9-25,60,12/9/9/9,361,30.0,78.0,20,"1-3, 31>",Flamethrower,"20, 27, 34, 41...",71,2/1,45/58,30/15,50/30
Run Speed,2 [9th],Wall Jump,No,Jab 2,5-6,26,4,80/55/30,25/25/40,50,Fair,8-9,47,12,361,35.0,92.0,22,"1-4, 35>",Flare Blitz (Hit 1),"23- (Damage Based Armor: 15%, Frames 23-53)",102,4,60,60,80
Walk Speed,1.2 [15-16th],Wall Cling,No,Jab 3,7-9,34,5,70/60/50/45,60,130,Fair (Late),10-11,-,13,34,32.0,97.0,-,-,Flare Blitz (Hit 2),?,-,15,361,70,84
Air Speed,0.92 [47th],Crawl,No,Dash Attack,10-12,40,11 (+1),50/60,100,45,Bair,14-16,46,16/14/11/11,361,50.0,90.0,24,"1-3, 44>",Fly (Hit 1),9-10 (Super Armor: 4-15),-,5,70/95/80,W: 130/140/140,100
Fall Speed,1.4 [40-41st],Tether,No,Dash Attack (Late),13-20,-,8 (+1),50/60,100,30,Uair,12-15 (Head Intangible: 11-15),46,13,85,30.0,105.0,20,"1-4, 41>",Fly,16-26 (Rehit rate: 3),-,2,72/90/90,W: 90/100/100,100
Fast Fall Speed,2.24 [39-41st],Jumpsquat,7 frames,Ftilt (All Angles),11-13,43,11/7/11/7,40/361/40/361,40,100,Dair,18-20,52,14,270,20.0,100.0,33,"1-4, 41>",Fly (Final Hit),27-28,-,4,75,70,150
Air Acceleration,0.05,Soft Landing Lag,2 frames,Utilt,9-13,34,8,96,40,130,Dair (Late),21-26,-,8,55/361,20.0,100.0,-,-,Rock Smash (Hit 1),24-26 (Super Armor: 5-23),72,14,60,60,80
Gravity,0.11,Hard Landing Lag,5 frames,Dtilt (Windbox),7-8,31,0,30,W: 72,60,,,,,,,,,,Rock Smash (Hits 2-6),27-46,-,3,70,50,70
SH Air Time,34 frames,FH Air Time,53 frames,Dtilt,9-10,31,10,30,60,60,,,,,,,,,,,,,,,,
,,,,Fsmash,22 (Intangible: 22-25),70,17,45,60,94,,,,,,,,,,,,,,,,
,,,,Fsmash (Late),23-24,-,17/14,45,60,94,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 1),6,49,5 (Ground Only),110,W: 100,100,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 1),7-11,-,5,140/100/280,W: 30/60/10,100,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 2),17-21,-,11,83,40,107,,,,,,,,,,,,,,,,
,,,,Dsmash,14-16,61,16,33/33/46/46,40,79/79/85/85,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,Base Dmg.,Notes,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,8-9,34,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,10-11,42,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,11-12,40,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,10,40,60,65,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,10,361,60,65,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,"8, 3",70,50,220,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"1%×5, 1",70,70,130,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-18,28,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-18,33,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-18,33,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-28,34,,,,,,,,,,,,,,,,,,,,
