Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,98 [22-24th],Max Jumps,2,Jab 1,5,28,2/2/3,60/60/92,W: 35/20/30,100,Nair,6-7,47,7.0,70,45,105.0,13,"1-5, 50>","Dragon Fang Shot (Shot, No Charge)",15-68 (Low Priority),60,4,55,30,80
Run Speed,1.45 [47th],Wall Jump,No,Jab 1 (Late),6,-,2/2/3,60/60/110,W: 35/20/30,100,Nair (Late),8-19,-,5.5,70,45,105.0,-,-,"Dragon Fang Shot (Bite, No Charge)",24-25 (Low Priority),-,10 (+3),50,50,100
Walk Speed,1.15 [24-27th],Wall Cling,No,Jab 2,4-5,30,2,64/79/90,35/35/30,22,Fair,7-10,36,7.5,65,40,99.0,14,"1-6, 30>","Dragon Fang Shot (Shot, Fully Charged)",45-96 (Low Priority),121,8~,55,50,80
Air Speed,0.97 [36-38th],Crawl,No,Jab 3,6-8,36,3.3/5,50,50,160/140,Bair,13,42,11.0,361,40,100.0,14,"1-5, 42>","Dragon Fang Shot (Bite, Fully Charged)",85-86 (Low Priority),-,20 (+3),50,10,100
Fall Speed,1.65 [17-21st],Tether,No,Rapid Jab,-,-,0.9,361/94,8,40,Bair (Late),14-16,-,9.0,361,40,100.0,-,-,Dragon Lunge (Aerial),10-11 (Low Priority),42,8/15,50/40,25/30,100
Fast Fall Speed,2.64 [18-22nd],Jumpsquat,6 frames,Rapid Jab Finisher,3-4,40,3,50,52,150,Uair,7-12,38,9.0,70,55,99.0,15,"1-3, 40>",Dragon Lunge (Special Hop),4,72,-,-,-,-
Air Acceleration,0.04,Soft Landing Lag,2 frames,Dash Attack (Hits 1-5),"11, 14, 17, 20, 23",56,2,15,W: 55/12/5,100,Dair,12-28 (Rehit rate: 2),52,2.0,120/260/120,W: 15/80/35,100.0,26,"1-11, 41>",Dragon Lunge (Out of Special Hop),4-5 (Low Priority),42,7/15,50/40,25/30,100
Gravity,0.092,Hard Landing Lag,4 frames,Dash Attack (Hit 6),26,-,3,60,40,160,Dair (Landing),1-4,-,3.0,361,50,110.0,-,-,"Dragon Lunge (Pin, Forward)",10-17,46,12,55,70,90
SH Air Time,37 frames,FH Air Time,55 frames,Ftilt,8-10,35,10.5,70,30,100,,,,,,,,,,"Dragon Lunge (Pin, Forward)",18-24,-,7,55,70,90
,,,,Utilt,7-8,36,9,88,65,53,,,,,,,,,,"Dragon Lunge (Pin, Behind, Early)",6-7,46,5,48,70,110
,,,,Utilt (Late),9-16,-,9/9/9/6,88,65,53,,,,,,,,,,"Dragon Lunge (Pin, Behind)",14-21,-,12,55,70,90
,,,,Dtilt,5-7,31,7.5,100,50,80,,,,,,,,,,"Dragon Lunge (Pin, Behind, Late)",22-28,-,7,55,70,90
,,,,Fsmash (Charge),12-68 (Rehit rate: 5),-,0.5,80,20,1,,,,,,,,,,"Dragon Lunge (Pin, Jump)",Intangible: 2-5,44,-,-,-,-
,,,,Fsmash (Early),17 (Low Priority),57,12/11,50,35,99,,,,,,,,,,Dragon Ascent (Hit 1),18-19 (Intangible: 10-17),-,4.5/0,85/0,W: 150/35,100
,,,,Fsmash,18 (Low Priority),-,12/11/15.2,50,35,99/99/105,,,,,,,,,,Dragon Ascent (Hits 2-7),"20, 21, 22, 23-24, 25-26, 27-28",-,1,80/105/68,W: 150,100
,,,,Fsmash (Late),19-22 (Low Priority),-,12/11/16.5,50,35,99/99/105,,,,,,,,,,Dragon Ascent (Hit 8),29-30,-,3,65,70,155
,,,,Usmash,13-15,52,13/13/15/10,93/93/93/95,50/50/50/75,86/86/86/75,,,,,,,,,,Counter Surge,Counter: 7-24 (Intangible: 6-7),64,-,-,-,-
,,,,Dsmash,13-15,54,11/9/14,32/35/35,40/50/50,95,,,,,,,,,,Counter Surge (Attack),26 (Intangible: 1-49),50,8 (1.2×),80,90,74
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,"Counter Surge (Attack, Late)",27-30,-,8 (1.3×),90,90,68
,,,,Standing Grab,7-8,31,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,8-9,38,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,9-10,36,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,No,"5, 2",50,80,70,,,,,,,,,,,,,,,,,
,,,,Bthrow,No,"6.5, 2",130,60,110,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,"6.5, 3",85,30,198,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"6.5, 3",70,80,150,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-17,27,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-14,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-14,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-27,33,,,,,,,,,,,,,,,,,,,,
