Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
Weight,93 [37-38th],Max Jumps,2,Jab 1,3-4,34,1.2,105/78/45,W: 16/18/24,100.0,Nair,8-20,49,6,80.0,60,75,13,"1-3, 59>",Peanut Popgun (Peanut),18-,49,3,70,40,70
Run Speed,1.824 [16th],Wall Jump,Yes,Jab 2,5-6,37,1.2,100/78/45,W: 16/18/24,100.0,Fair,6-9,47,10,361.0,30,86,26,"1-2, 26>",Peanut Popgun (Explosion),123,229,23,361,30,92
Walk Speed,1.25 [11th],Wall Cling,Yes,Jab 3,9-10,35,2,90/85/60,W: 25/25/37,100.0,Fair (Late),10-16,-,8,361.0,30,86,-,-,Monkey Flip (Grounded),20-36,44,-,-,-,-
Air Speed,0.88 [52-53rd],Crawl,Yes,Rapid Jab,-,-,1,60,W: 8,100.0,Bair,5-8,31,9,361.0,30,102,12,"1-2, 20>",Monkey Flip (Aerial),20-29,44,-,-,-,-
Fall Speed,1.75 [10-11th],Tether,No,Rapid Jab Finisher,5-6,39,3,55,45,177.0,Uair,4-7,39,6,76.0,64,89,21,27>,Monkey Flip (Ground Throw),-,-,"3, 7",361,50,100
Fast Fall Speed,2.8 [11-12th],Jumpsquat,4 frames,Dash Attack (Hit 1),9,46,2,40,W: 55,100.0,Dair,17,49,13/10,270.0,25/20,110/100,28,"1-16, 37>",Monkey Flip (Aerial Throw),-,-,"3, 5",270,25,40
Air Acceleration,0.05,Soft Landing Lag,2 frames,Dash Attack (Hit 2),18,-,2,366,W: 62,100.0,,,,,,,,,,Monkey Flip (Attack Input),6-10,30,14/12,361,80,50
Gravity,0.105,Hard Landing Lag,4 frames,Dash Attack (Hit 3),24,-,3,78,80,90.0,,,,,,,,,,"Monkey Flip (Attack Input, Late)",11-25,-,12/10,361,80,50
SH Air Time,39 frames,FH Air Time,59 frames,Ftilt (All Angles),10,37,10,361,10,100.0,,,,,,,,,,Rocketbarrel Boost (Launch),8-9,-,10,361,40,85
,,,,"Ftilt (All Angles, Late)",11-13,-,7,361,10,100.0,,,,,,,,,,Rocketbarrel Boost (Travel),10-16,-,8,80,40,90
,,,,Utilt,6-11,33,6,92,28,150.0,,,,,,,,,,"Rocketbarrel Boost (Travel, Late)",17-33,-,6,70,40,90
,,,,Dtilt,4-5,19,5.5,50/60,15,75.0,,,,,,,,,,Rocketbarrel Boost (Explosion),1-2,-,18,70,50,60
,,,,Fsmash (Hit 1),12-13,51,5,90/60/30,W: 28/35/42,100.0,,,,,,,,,,Banana Peel,20-,40,3,361,50,0
,,,,Fsmash (Hit 2),22-24,-,11/11/9,46/50/60,40,116.0,,,,,,,,,,Banana Peel (Failed),-,50,-,-,-,-
,,,,Usmash (Hit 1),5-8,54,2.5,95/110/95/95,W: 85/106/50/60,100.0,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 2),12-15,-,2.5,125/105/95,W: 48/45/45,100.0,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 3),19-23,-,6,85,50,126.0,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 1),6-7,53,12,33,40,72.0,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 2),16-18,-,15,35,35,76.0,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,6-7,32,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,8-9,39,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,9-10,37,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg. (+SD),Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,9,46,69,65,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,12,42,60,55,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,"1, 4",87,70,72,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,7,106,85,59,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-16,26,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-15,28,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-15,28,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-26,32,,,,,,,,,,,,,,,,,,,,
