Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,91 [39-40th],Max Jumps,2,Jab 1,4-6,26,2.5,68/82,W: 30/25,100,Nair,6-8,56,11,361,30,100,17,"1-3, 44>",Trick Shot,16-,46,2,80,50,40
Run Speed,1.63 [27th],Wall Jump,Yes,Jab 2,5-7,28,2.5,60/70,W: 35/25,100,Nair (Late),9-37,-,5,361,22,90,-,-,Trick Shot (Reticle Hit),1-2,-,1.8,60,30,100
Walk Speed,1.155 [23rd],Wall Cling,No,Jab 3,6-9,34,5,60,50,130,Fair (Early),7-8,46,6.5,48,40,80,15,"1-4, 46>",Trick Shot (Explosion),1-2,-,8,80,40,110
Air Speed,1.1 [14-19th],Crawl,Yes,Rapid Jab,-,-,1,80,W: 16,100,Fair,9-10,-,10/6.5,48,30/40,80,-,-,Clay Shooting (Pidgeon),17-,66,2,75,40,70
Fall Speed,1.65 [17-21th],Tether,No,Rapid Jab Finisher,6,40,3,74,70,140,Fair (Late),11-12,-,7.5,48,30,80,-,-,Clay Shooting (Reticle Hits 1-3),"6, 14, 17",-,1.8,60,10,10
Fast Fall Speed,2.64 [18-22nd],Jumpsquat,4 frames,Dash Attack,10-13,44,10,60,100,40,Bair,7-8,42,10/12,361,40/30,90,24,"1-3, 35>",Clay Shooting (Reticle Hit 4),18,-,5,60,30,100
Air Acceleration,0.07,Soft Landing Lag,2 frames,Dash Attack (Late),14-19,-,7,110,100,40,Bair (Late),9-10,-,10.5,361,30,90,-,-,Duck Jump,-,-,-,-,-,-
Gravity,0.076,Hard Landing Lag,4 frames,Ftilt (All Angles),8-11,32,8,361,15,100,Uair (Hits 1-2),"6-7, 12-13",40,3,145,W: 40 B: 9,100,18,32>,Wild Gunman,"Gunman Generated: 6, 5% HP",45,-,-,-,-
SH Air Time,41 frames,FH Air Time,61 frames,Utilt,8-12,34,7,96,35,130,Uair (Hit 3),20-21,-,6,91,50,120,-,-,Wild Gunman (Sombrero),71,-,7,70,30,105
,,,,Dtilt,6-7,35,8,30,50,60,Dair (Hit 1),14,60,5,130/255,20,20,34,"1-3, 33>",Wild Gunman (Brown Coat & Hat),53,-,6,65,30,105
,,,,Fsmash (Hits 1-2),"17-18, 23-24",67,4,5,W: 60,100,Dair (Hit 2),20,-,10,270/70,10,80/90,-,-,Wild Gunman (Black Coat & Hat),65,-,5,50,30,105
,,,,Fsmash (Hit 3),29-30,-,9,361,50,125,,,,,,,,,,Wild Gunman (White Shirt & Brown Hat),89,-,4,65,30,112
,,,,Usmash (Hit 1),12-13,58,2,140/150,W: 72/60,110/100,,,,,,,,,,Wild Gunman (Black Vest & Brown Hat),77,-,4,50,30,105
,,,,Usmash (Hit 2),20-21,-,2.4,115,W: 72,100,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 3),28-29,-,10,85,40,112,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 1),12-13,59,5,165,W: 115,105,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 2),20-21,-,5,165,W: 115,100,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 3),28-29,-,6,150,32,155,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,8-9,29,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,10-11,36,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,10-11,34,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,8,45,60,65,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,9,45,62,50,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,6,88,70,80,,,,,,,,,,,,,,,,,
,,,,Dthrow,Yes,5,80,70,50,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-16,25,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-15,27,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-15,27,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-25,31,,,,,,,,,,,,,,,,,,,,
