Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,94 [33-36th],Max Jumps,2,Jab 1,3-6,22,2,70/60/80,30,30,Nair,12-13,65,11.0,60,30,95.0,12,"1-9, 40>",Water Shuriken (Uncharged),20-,46,3,361,60,100
Run Speed,2.08 [6th],Wall Jump,Yes,Jab 2,3-4,22,1.6,70/60/90,30,50,Nair (Late),14-16,-,6.0,60,30,95.0,-,-,Water Shuriken (Full Charge),60-100 (Rehit rate: 6),86,0.7,21,W: 50,100
Walk Speed,1.43 [4th],Wall Cling,Yes,Jab 3,5-9,36,3.5,361,60,100,Fair,16-17,55,14.0,45,30,84.0,15,"1-12, 40>","Water Shuriken (Full Charge, Final Hit)",106,-,9,60,40,122
Air Speed,1.18 [8th],Crawl,Yes,Rapid Jab Finisher,4-5,36,2,45,60,120,Bair (Hit 1),5,46,3.0,365/30/30,W: 0/100/130,100.0,13,"1-3, 35>",Shadow Sneak (Charge),Hold Charge Until:,-,-,-,-,-
Fall Speed,1.85 [3rd],Tether,No,Dash Attack,7-10,31,7,60,100,40,Bair (Hit 2),8,-,2.5,365/40/35,W: 0/105/140,100.0,-,-,Shadow Sneak (Front Attack),27-28,67,10,48,60,104
Fast Fall Speed,2.96 [4th],Jumpsquat,4 frames,Ftilt (All Angles),10-12,33,7.3,361,20/30/40,110/90/70,Bair (Hit 3),13-16,-,4.0,361,60,120.0,-,-,Shadow Sneak (Back Attack),27-28,-,12,48,60,103
Air Acceleration,0.07,Soft Landing Lag,2 frames,Utilt,9-12,33,4.5,92/90/80,60,100,Uair (Hits 1-4),"7-8, 9-10, 11-12, 13-14",42,1.3,366,45,100.0,16,"1-2, 35>",Hydro Pump,"19-31, 24-36, 30-42, 35-47",-,2,58,65,100
Gravity,0.18,Hard Landing Lag,4 frames,Dtilt,5-6,27,7,70,60,40,Uair (Hit 5),15-16,-,1.3,85,W: 10 B: 45,100.0,-,-,Substitute,Counters: 8-29 (Intangible: 8-19),65,-,-,-,-
SH Air Time,32 frames,FH Air Time,52 frames,Fsmash,13-15,50,14,361,30,101,Uair (Hit 6),17,-,3.0,75,40,168.0,-,-,"Substitute (Attack, Neutral/Side)",41-65 (Intangible: 1-37),85,11,361,62,100
,,,,Usmash (Hit 1),12-17,52,5,366,30,120,Dair,17-19,57 (On Hit: 13),8.0,270,20,95.0,33,"1-2, 53>","Substitute (Attack, Up)",41-65 (Intangible: 1-37),-,14,90,50,100
,,,,"Usmash (Hit 2, Early)",18,-,14/11/11/11/11,90/44/44/44/44,30,104/100/100/100/100,Dair (Late),20-45,-,8.0,60,35,95.0,-,-,"Substitute (Attack, Up Diagonal)",41-65 (Intangible: 1-37),-,13,60,62,100
,,,,Usmash (Hit 2),19-20,-,11,44,30,100,,,,,,,,,,"Substitute (Attack, Down)",41-65 (Intangible: 1-37),-,14,45/270,50,100
,,,,"Usmash (Hit 2, Late)",21,-,10,40,30,98,,,,,,,,,,"Substitute (Attack, Down Diagonal)",41-65 (Intangible: 1-37),-,13,25,62,72
,,,,Dsmash,16-18,55,13/13/11/11,30,32,92,,,,,,,,,,,,,,,,
,,,,Down Taunt,30-73 (Rehit rate: 3),80,0.5,90,70,100,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,11-12,29,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,9-10,38,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,15-16,37,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,5,50,70,45,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,8,140,55,60,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,5,93,60,120,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,5,65,53,75,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-16,26,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-14,30,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-14,33,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-26,32,,,,,,,,,,,,,,,,,,,,
