Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,68 [58th],Max Jumps,6,Jab 1,5-6,17,3,60/78,12,50.0,Nair,6-7,44,11.0,361,30,100.0,15,"1-3, 40>",Rollout (Charge),Full Charge Time: ~50 Frames,-,-,-,-,-
Run Speed,1.155 [57th],Wall Jump,No,Jab 2,5-6,20,3,55/65,22,50.0,Nair (Late),8-30,-,6.0,361,50,70.0,-,-,"Rollout (Ground, Release)",1-,74 (On hit),7,30,30,92
Walk Speed,0.7 [58th],Wall Cling,No,Dash Attack,5-9 (Cannot Rebound),40,12,361,16,100.0,Fair,8-9,37,9.0,361,30,98.0,15,"1-3, 28>","Rollout (Aerial, Release)",1-,-,10,90,30,102
Air Speed,1.269 [2nd],Crawl,No,Dash Attack (Late),10-20 (Cannot Rebound),-,8,361,8,100.0,Fair (Late),10-20,-,6.0,361,30,70.0,-,-,Pound,13-28,46,11,75,52,75
Fall Speed,0.98 [58th],Tether,No,Ftilt (All Angles),7-10,28,10,361,8,100.0,Bair,12-13,40,13.0,42,0/30,120.0,18,"1-3, 28>",Sing,"29-33, 73-77, 122-134",180,0,-,-,-
Fast Fall Speed,1.568 [58th],Jumpsquat,6 frames,Utilt,9-10,24,9,96,40,120.0,Uair,9-21,45,9.0,88,30,100.0,15,"1-3, 35>",Rest,2-4 (Intangible 1-27),230,20,88,100,66
Air Acceleration,0.08,Soft Landing Lag,2 frames,Utilt (Late),11-13,-,8,88,40,120.0,Dair (Hits 1-8),"7-8, 10-11, 13-14, 16-17, 19-20, 22-23, 25-26, 28-29",53,1.5,145/280,B: 10/W: 30,100.0,30,45>,,,,,,,
Gravity,0.05309,Hard Landing Lag,4 frames,Dtilt,10-12,31,10,20,50,55.0,Dair (Hit 9),31-32,-,2.0,42,30,150.0,-,-,,,,,,,
SH Air Time,41 frames,FH Air Time,56 frames,Fsmash,16-19,50,15,361,10,115.0,,,,,,,,,,,,,,,,
,,,,Fsmash (Late),20-24,-,12,361,6,85.0,,,,,,,,,,,,,,,,
,,,,Usmash,16-19,46,14/12,87,20,105.0,,,,,,,,,,,,,,,,
,,,,Dsmash,14-15 (Legs Intangible: 14-15),49,11,0,34,69.0,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,6-7,27,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,8-9,33,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,9-10,32,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,No,"5, 5",55,100,30,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,10,45,90,25,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,10,90,110,30,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"4, 6",80,100,45,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,4-19,29,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,4-29,35,,,,,,,,,,,,,,,,,,,,
