Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,90 [41-42nd],Max Jumps,2,Jab 1,5-7,26,3.325,78/65/90,55,30.0,Nair (Hit 1),6-7,50,4.2,80/75/65/90,30.0,50.0,12,47>,Shield Breaker (No Charge),19-20,51,8.5 (+25),361,45,95
Run Speed,1.785 [18-19th],Wall Jump,No,Jab 2,3-5,29,4.75,45,62,45.0,Nair (Hit 2),15-21,-,8.5,361,55.0,95.0,-,-,Shield Breaker (Full Charge),78-79,110,23 (+50),361,45,95
Walk Speed,1.5 [1-2nd],Wall Cling,No,Dash Attack,13-16,50,9.975,45,48,58.0,Fair,6-8,38,10.5,361,40.0,85.0,16,36>,Dancing Blade,6-8,42,3.325,78/92/20,25,75
Air Speed,1.02 [29-30th],Crawl,No,Ftilt,8-11,34,10.925,361,42,77.0,Bair,7-11,40,11.8,361,40.0,90.0,17,"1-2, 32>",Dancing Blade 2 (Up),7-10,39,3.325,80/85/60,30,60
Fall Speed,1.58 [28-29th],Tether,No,Utilt,6-8,34,7.6,100,65,100.0,Uair,5-9,46,11.4,85,40.0,82.0,14,"1-2, 38>",Dancing Blade 2,9-10,39,3.325,75/90/40,30,30
Fast Fall Speed,2.528 [27-28th],Jumpsquat,5 frames,Utilt (Late),9-12,-,8.075,85/100/100/85,52,100.0,Dair,9-13,60,12.3,361/80/361,30.0,75.0,24,"1-2, 55>",Dancing Blade 3 (Up),8-10,44,4.275,80/85/60,40,50
Air Acceleration,0.07,Soft Landing Lag,2 frames,Dtilt,7-8,24,8.5,30,45,40.0,Dair (Meteor),11,-,14.2,270,20.0,80.0,-,-,Dancing Blade 3,6-8,44,4.275,50/55/40,40,43
Gravity,0.075,Hard Landing Lag,4 frames,Fsmash,10-13,52,15,361,65,80.0,,,,,,,,,,Dancing Blade 3 (Down),8-10,44,4.75,44,50,28
SH Air Time,41 frames,FH Air Time,61 frames,Usmash (Launcher),13-14,59,3,125,W: 155,100.0,,,,,,,,,,Dancing Blade 4 (Up),11-15,51,6.65,80,60,118
,,,,Usmash,13-17,-,14.25,89,42,90.0,,,,,,,,,,Dancing Blade 4,13-15,56,5.7,361,60,130
,,,,Dsmash (Hit 1),6-7,55,9.5,75/361/361/361,60,88.0,,,,,,,,,,"Dancing Blade 4 (Down, Hits 1-4)","13-14, 19-20, 25-26, 31-32",72,2,80,2,40
,,,,Dsmash (Hit 2),21-23,-,14,60/361/361/361,60,88.0,,,,,,,,,,"Dancing Blade 4 (Down, Hit 5)",37-38,-,4.75,361,70,80
,,,,Grabs,Hitbox Active,FAF,Notes,,,,,,,,,,,,,Dolphin Slash (Early),"5 (Intangible: 4-5, Air: 1-5)",-,11,361/74,70,74
,,,,Standing Grab,7-8,30,,,,,,,,,,,,,,Dolphin Slash,6,-,7/7/6/11/11,361/74/74/361/74,20/20/20/70/70,90/90/90/74/74
,,,,Dash Grab,8-9,37,,,,,,,,,,,,,,Dolphin Slash (Late),7-11,-,7/7/6,361/74/74,20,90
,,,,Pivot Grab,9-10,35,,,,,,,,,,,,,,Counter,Counters: 6-27 (Intangible: 5-6),60,-,-,-,-
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,Counter (On Hit),"16 Freeze Frames, (Intangible: 1-16)",-,-,-,-,-
,,,,Fthrow,Yes,4,50,100,50,,,,,,,,,,,Counter (Attack),5-7 (Intangible: 1-7),36,8 (1.2×),361,90,60
,,,,Bthrow,Yes,4,140,80,60,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,4,93,70,120,,,,,,,,,,,,,,,,,
,,,,Dthrow,Yes,5,100,95,50,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-17,27,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-27,33,,,,,,,,,,,,,,,,,,,,
