Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,98 [22-24th],Max Jumps,2,Jab 1,2-3,20,2.5,361/361/80,W: 15/10/15,100,Nair,3-5,46,8.0,361.0,20,100.0,10,"1-2, 34>",Fireball,17-20,53,5,361,35,20
Run Speed,1.6 [28-30th],Wall Jump,Yes,Jab 2,2-3,22,1.5,361/361/80,W: 18/15/18,100,Nair (Late),6-29,-,5.0,361.0,13,90.0,-,-,Fireball,21-44,-,5,361,28,15
Walk Speed,1.1 [30-32nd],Wall Cling,No,Jab 3,7-8,34,4,361,45,80,Fair (Early),16,60,12.0,361.0,30,80.0,26,"1-2, 43>",Fireball (Late),45-69,-,4,361,22,10
Air Speed,1.15 [9-11th],Crawl,No,Dash Attack,6-9,38,8,60,100,43,Fair,17-20,-,14.0,280.0,32,78.0,-,-,Cape,"12-14 (Reflects 6-20, 1.5× 50% Break Threshold)",36,7,110,0,0
Fall Speed,1.5 [32-35th],Tether,No,Dash Attack (Late),10-25,-,6,110,100,43,Fair (Late),21,-,10.0,361.0,20,80.0,-,-,Super Jump Punch (Hit 1),3-4 (Intangible: 3-6),-,5,70/90,W: 130/140,100
Fast Fall Speed,2.4 [31-34th],Jumpsquat,5 frames,Ftilt (All Angles),5-6,31,7,361,8,100,Bair,6-7,34,10.5,361.0,12,106.0,12,"1-5, 19>",Super Jump Punch (Hits 2-4),"5, 6, 7",-,1,74/90,W: 150,100
Air Acceleration,0.07,Soft Landing Lag,2 frames,Utilt,5-11,30,5.5,96,28,130,Bair (Late),8-10,-,7.0,361.0,7,90.0,-,-,Super Jump Punch (Hit 5),9,-,1,365,W: 90/120,100
Gravity,0.08715,Hard Landing Lag,4 frames,Dtilt,5-7,28,5/7,80,35,80,Uair,4-8,32,7.0,75.0,10,135.0,12,18>,Super Jump Punch (Hit 6),11,-,3,60,52,145
SH Air Time,40 frames,FH Air Time,61 frames,Fsmash (Angled Up),15-17,48,14.7/17.85,361,25,103/99,Dair (Hits 1-5),"5, 7, 9, 11, 13",38,1.0,94.0,W: 10,100.0,19,"1-4, 33>",F.L.U.D.D,Max Charge: Frame 98,99 (Shield Cancellable From: 20),-,-,-,-
,,,,Fsmash,15-17,-,14/17,361,25,103/99,Dair (Hit 6),25,-,5.0,75.0,80,100.0,-,-,F.L.U.D.D (Attack),21-,75,0,55,W: 45,100
,,,,Fsmash (Angled Down),15-17,-,14.42/17.51,361,25,103/99,Dair (Landing),1-3,-,2.0,361.0,W: 60,100.0,-,-,,,,,,,
,,,,Usmash,9-12 (Head Intangible: 9-12),40,14,83,32,94,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 1),5-6,44,10,32,30,100,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 2),14,-,12,30,30,100,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,6-7,29,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,8-9,36,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,9-10,34,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,8,45,60,60,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,11,45,70,66,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,7,90,70,72,,,,,,,,,,,,,,,,,
,,,,Dthrow,Yes,5,68,40,90,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-17,27,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-16,30,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-16,30,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-27,33,,,,,,,,,,,,,,,,,,,,
