Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,90 [41-42nd],Max Jumps,2,Jab 1,5-7,26,3/3/5,78/65/90,55,30,Nair (Hit 1),6-7,50,3.5/3.5/3.5/5,80/75/65/90,30,50,12,47>,Shield Breaker (No Charge),19-20,51,8/9 (+25),361,30/60,90/100
Run Speed,1.785 [18-19th],Wall Jump,No,Jab 2,3-5,29,4/4/6,45,62,75,Nair (Hit 2),15-21,-,7/7/7/9.5,361,50/50/50/60,90/90/90/100,-,-,Shield Breaker (Full Charge),78-79,110,22/24 (+50),361,30/60,90/100
Walk Speed,1.5 [1-2nd],Wall Cling,No,Dash Attack,13-16,50,10/9/9/12,45/361/361/45,70/35/35/80,55/60/60/55,Fair,6-8,38,8/8/11.5,361,40,80/80/90,16,36>,Dancing Blade,6-8,42,3/4/3,78/92/20,25,75
Air Speed,1.02 [29-30th],Crawl,No,Ftilt,8-11,34,9/9/12,361,30/30/55,70/70/85,Bair,7-11,40,9/9/12.5,361,40,85/85/94,17,"1-2, 32>",Dancing Blade 2 (Up),7-10,39,3/4/3,80/85/60,30,70/50/70
Fall Speed,1.58 [28-29th],Tether,No,Utilt,6-8,34,6/5/5/9,100,65,100,Uair,5-9,46,9.5/9.5/9.5/13,80/80/80/90,40,80/80/80/84,14,"1-2, 38>",Dancing Blade 2,9-10,39,3/4/3,75/90/40,30,30
Fast Fall Speed,2.528 [27-28th],Jumpsquat,5 frames,Utilt (Late),9-12,-,6/5/5/9,85/100/100/85,52,100,Dair,9-13,60,12/12/14,361/80/361,30/40/20,70/70/80,24,"1-2, 55>",Dancing Blade 3 (Up),8-10,44,4/5/4,80/85/60,40,60/40/60
Air Acceleration,0.07,Soft Landing Lag,2 frames,Dtilt,7-8,24,7/10,30,40/50,40,Dair (Meteor),11,-,15,270,20,80,-,-,Dancing Blade 3,6-8,44,4/5/4,50/55/40,40,50/35/50
Gravity,0.075,Hard Landing Lag,4 frames,Fsmash,10-13,52,13/13/13/18,361,55/55/55/80,80,,,,,,,,,,Dancing Blade 3 (Down),8-10,44,4.5/5.5,44,50,28
SH Air Time,41 frames,FH Air Time,61 frames,Usmash (Launcher),13-14,59,3,125,W: 155,100,,,,,,,,,,Dancing Blade 4 (Up),11-15,51,6/8/6,80,60,118
,,,,Usmash,13-17,-,13/17/13,89/89/90,45/40/45,90/95/90,,,,,,,,,,Dancing Blade 4,13-15,56,5/7/5,361,60,130
,,,,Dsmash (Hit 1),6-7,55,8/8/8/12,75/361/361/361,70/50/50/50,88,,,,,,,,,,"Dancing Blade 4 (Down, Hits 1-4)","13-14, 19-20, 25-26, 31-32",72,2,80,2,40
,,,,Dsmash (Hit 2),21-23,-,12/12/12/17,60/361/361/361,70/50/50/50,88,,,,,,,,,,"Dancing Blade 4 (Down, Hit 5)",37-38,-,4/6/4,361,70,80
,,,,Grabs,Hitbox Active,FAF,Notes,,,,,,,,,,,,,Dolphin Slash (Early),"5 (Intangible: 4-5, Air: 1-5)",-,11,361/74,70,74
,,,,Standing Grab,7-8,30,,,,,,,,,,,,,,Dolphin Slash,6,-,7/7/6/11/11,361/74/74/361/74,20/20/20/70/70,90/90/90/74/74
,,,,Dash Grab,8-9,37,,,,,,,,,,,,,,Dolphin Slash (Late),7-11,-,7/7/6,361/74/74,20,90
,,,,Pivot Grab,9-10,35,,,,,,,,,,,,,,Counter,Counters: 6-27 (Intangible: 5-6),60,-,-,-,-
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,Counter (On Hit),16 Freeze Frames (Intangible: 1-16),-,-,-,-,-
,,,,Fthrow,Yes,4,50,100,50,,,,,,,,,,,Counter (Attack),5-7 (Intangible: 1-7),36,8 (1.2×),361,90,60
,,,,Bthrow,Yes,4,140,80,60,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,4,93,70,120,,,,,,,,,,,,,,,,,
,,,,Dthrow,Yes,5,100,95,50,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-17,27,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-27,33,,,,,,,,,,,,,,,,,,,,
