Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
Weight,80 [49-50th],Max Jumps,6,Rapid Jab,"7, 11, 15, 20, 24...",-,1.2 (+1),60,8,30,Nair,6-7,44,10,361,40,100,16,"1-5, 40>",Mach Tornado,12- (Rehit rate: 6),-,1,90/366,10,100
Run Speed,1.9 [12th],Wall Jump,No,Rapid Jab Finisher,3,35,2,361,60,140,Nair (Late),8-20,-,7.5,361,40,100,-,-,Mach Tornado (Final Hit),42-44,-,3,70,55,170
Walk Speed,1.18 [21st],Wall Cling,No,Dash Attack,7-11,32,6/6/5,60/70/80,70,90,Fair (Hits 1-2),"9, 12",46,1.5/1.5/2.2/2.2,85/85/361/361,W: 40/40/B: 30/30,100/100/130/130,16,44>,Drill Rush,26-32 (Rehit rate: 6),-,1,0/30/361/366,W: 30/30 B: 60/100/70/70,50
Air Speed,0.99 [35th],Crawl,No,Ftilt 1,6,26,2,68/85,8,88,Fair (Hit 3),15,-,3,48,60,140,-,-,Drill Rush,33-69 (Rehit rate: 6),-,1,50/366/366,40/70/70,45/50/50
Fall Speed,1.66 [16th],Tether,No,Ftilt 2,2,28,2,60/80,8,88,Bair (Hits 1-2),"7-8, 13-14",52,1.5/1.5/2.2/2.2,366/366/45/45,W: 90/90/B: 40/40,100/100/130/130,18,"1-6, 40>",Drill Rush (Final Hit),70,-,3,60,40,200
Fast Fall Speed,2.656 [17th],Jumpsquat,4 frames,Ftilt 3,2,31,4,361,80,107,Bair (Hit 3),20-21,-,4,361,30,212,-,-,"Shuttle Loop (Grounded, Hit 1)",8,-,9,86/88/86/88,130/127/98/98,10
Air Acceleration,0.065,Soft Landing Lag,2 frames,Utilt,8-10,35,7/5,95,60,90,Uair,6,27,4,69/69/52,30,128,18,"1-5, 24>","Shuttle Loop (Grounded, Hit 1, Late)",9-12,-,6,86,90,10
Gravity,0.11,Hard Landing Lag,4 frames,Utilt (Late),11-14,-,7/6,95/85,60/35,90/120,Dair,4,28,6,35/50/50,30,108,22,"1-3, 26>","Shuttle Loop (Grounded, Hit 2)",22-27,-,6,80,55,130
SH Air Time,31 frames,FH Air Time,50 frames,Dtilt,3-4,19,5,361,15,88,,,,,,,,,,"Shuttle Loop (Aerial, Hit 1)",7-10,-,6,86,120/70,10
,,,,Fsmash,24,42,16,361,30,108/98,,,,,,,,,,"Shuttle Loop (Aerial, Hit 2)",20-26,-,6,80,55,118
,,,,Usmash (Hit 1),8,50,3,366/135/135,W: 20/25/25 B: 30,100,,,,,,,,,,Dimensional Cape,(Intangible: 12-39),64,-,-,-,-
,,,,Usmash (Hit 2),12,-,2,366/135/135,W: 20/25/25 B: 30/20/20,100,,,,,,,,,,Dimensional Cape (Attack),34- (Intangible: 12-28),93,16/15/14,-,-,-
,,,,Usmash (Hit 3),17,-,4,85/85/90,65,166,,,,,,,,,,,,,,,,
,,,,"Dsmash (Not Buffered, Hit 1)",5,39,7,35,32,93,,,,,,,,,,,,,,,,
,,,,"Dsmash (Not Buffered, Hit 2)",10,-,10,35,32,93,,,,,,,,,,,,,,,,
,,,,"Dsmash (Buffered, Hit 1)",4,38,7,35,32,93,,,,,,,,,,,,,,,,
,,,,"Dsmash (Buffered, Hit 2)",9,-,10,35,32,93,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,7-8,32,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,9-10,40,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,9-10,38,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg. (+SD),Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,No,"6, 3",65,50,140,,,,,,,,,,,,,,,,,
,,,,Bthrow,No,"7, 3",45,60,140,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,10,77,70,70,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"0.5%×9, 1, 2",60,50,170,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-15,25,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-15,28,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-15,28,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-25,31,,,,,,,,,,,,,,,,,,,,
