Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,74 [57th],Max Jumps,2,Jab 1,6,25,4,76/70,50/20,20/60,Nair (Hits 1-4),"7-8, 11-12, 15-16, 19-20",46,1,185/185/110/110,W: 22/22/46/46 B: 20,100,13,46>,Shadow Ball,23- (6- From Charge),49 (32 From Charge),-,-,-,-
Run Speed,2.05 [7th],Wall Jump,Yes,Rapid Jab Finisher,6,36,2,361,82,100,Nair (Hits 5-8),"23-24, 27-28, 31-32, 35-36",-,1,185/185/110/110,W: 22/22/46/46 B: 20,100,-,-,Shadow Ball (Uncharged),-,-,2.5,361,14,30
Walk Speed,1.2 [15-16th],Wall Cling,No,Dash Attack,10-11,39,10/9,60/70,80,70/60,Nair (Hit 9),39-40,-,4,361,40,110,-,-,Shadow Ball (Charged),-,-,25 (+3),47,30,67
Air Speed,1.25 [3rd],Crawl,No,Dash Attack (Late),12-20,-,6/4,70/80,80,70/60,Fair,6-8,38,13,50,40,100,14,36>,Confusion,12-15 (Reflects on: 12-35),45,"1.15%×7, 1",-,-,-
Fall Speed,1.5 [32-35th],Tether,No,Ftilt (All Angles),10-11,36,10/9/8,361,20,100,Bair,13-17,40,13/11/9,361,20,90,17,"1-2, 38>",Teleport,Intangible: 9-17,-,-,-,-,-
Fast Fall Speed,2.4 [31-34th],Jumpsquat,5 frames,Utilt,8,30,6/5/4.5/4.5,110/110/361/110,70/60/50/50,114/114/80/50,Uair,10-14,40,11/10/9,72/65/55,40,97,13,"1-2, 36>",Disable,16-22,48,1,-,-,-
Air Acceleration,0.05,Soft Landing Lag,2 frames,Utilt (Late),9-13,-,5/4/3,78,60/50/40,114,Dair,15-18,46,15/14,270/70,10/20,100/98,18,"1-3, 42>",,,,,,,
Gravity,0.082,Hard Landing Lag,5 frames,Dtilt,6-7,21,5/4.5/4,80/70/60,60/65/60,82/84/70,,,,,,,,,,,,,,,,
SH Air Time,41 frames,FH Air Time,57 frames,Fsmash,19-21,53,16/19,361,30/21,90/85,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 1),9,69,1,100,W: 90,100,,,,,,,,,,,,,,,,
,,,,"Usmash (Hit 1, Late)",10-11,-,1,170/170/95/270,W: 18/18/40/5,100,,,,,,,,,,,,,,,,
,,,,Usmash (Hits 2-6),"14-15, 18-19, 22-23, 26-27, 30-31",-,1,170/170/95/270,W: 18/18/40/5,100,,,,,,,,,,,,,,,,
,,,,Usmash (Hit 7),34-35,-,10,80/80/90/90,60,107,,,,,,,,,,,,,,,,
,,,,Dsmash,21-22,44,15,55,20,118,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,7-8,36,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,9-10,43,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,10-11,41,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,"3, 2%×5",-,-,-,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,10,47,70,75,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,12,90,72,65,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"4, 5",74,65,50,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-14,25,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-13,30,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-13,30,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-24,29,,,,,,,,,,,,,,,,,,,,
