Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
Weight,100 [17-20th],Max Jumps,2,Jab 1,6-7,19,4,85/50/45/45,32,20,Nair,11-24,49,8.0,361,48,68,15,"1-5, 33>",Neutral 1: Gale Strike (Early),23-39 (Rehit rate: 6),78,3.7,86,80,104
Run Speed,1.5 [38-42nd],Wall Jump,No,Jab 2,6-7,23,3,78/96/60/60,40,20,Fair (Hits 1-2),"11, 16",47,3.0,366,5,100,17,51>,Neutral 1: Gale Strike,40-56,-,2.9,86,80,105
Walk Speed,1.188 [19-20th],Wall Cling,No,Jab 3,7-11,39,5,55,70,50,Fair (Hit 3),21,-,5.0,50,55,130,-,-,Neutral 1: Gale Strike (Late),57-73,-,2,86,70,106
Air Speed,0.96 [39-40th],Crawl,No,Dash Attack,9-11,43,10,60,80,60,Bair,8-9,38,14.0,361,10,100,15,29>,Neutral 1: Gale Strike (Windbox),74-,-,0,86/20,80/55,100
Fall Speed,1.6 [24-27th],Tether,No,Dash Attack (Late),12-18,-,6,60,80,60,Uair,11-13,45,16.0,80,25,90,16,"1-10, 30>",Neutral 2: Shuriken of Light (Close),16-22,50,2,361,20,50
Fast Fall Speed,2.56 [25-26th],Jumpsquat,7 frames,Ftilt,11-13,35,12,361,20,96,Uair (Late),14-23,-,10.0,80,18,85,-,-,Neutral 2: Shuriken of Light,23-29,-,4,70,20,50
Air Acceleration,0.04,Soft Landing Lag,2 frames,Utilt,8-12,33,7,95/85/85,30,122/130/123,Dair,14-37 (Rehit rate: 5),59,1.0,220/250,W: 10/30 B: 18,80/100,30,"1-4, 80>",Neutral 2: Shuriken of Light,30-36,-,6.5,70,35,50
Gravity,0.096,Hard Landing Lag,5 frames,Dtilt,5-6,20,8,65,50,80,Dair (Landing),2-3,-,5.0,45,60,120,-,-,Neutral 2: Shuriken of Light,37-44,-,10,70,50,50
SH Air Time,35 frames,FH Air Time,50 frames,Fsmash,16-18,60,15/14/16/14,361,30,100/100/99/100,,,,,,,,,,"Neutral 3: Blade Flurry (No Charge, Hits 1-4)","17-18, 21-22, 25-26, 29-30",85,0.6,45/150,W: 8,100
,,,,Usmash (Hit 1),11-12,60,4,130,W: 120,100,,,,,,,,,,"Neutral 3: Blade Flurry (No Charge, Hit 5)",33-34,-,0.5,366,W: 22,100
,,,,Usmash (Hits 2-3),"14-16, 20-22",-,3,104/110/366,W: 90/40/20,100,,,,,,,,,,"Neutral 3: Blade Flurry (No Charge, Final Hit)",44-45,-,7,40,40,105
,,,,Usmash (Hit 4),26-28,-,7,95/98/98,40,142,,,,,,,,,,"Neutral 3: Blade Flurry (Full Charge, Hits 1-4)","66-67, 70-71, 74-75, 78-79",134,1.25?,45/150,W: 8,100
,,,,Dsmash (Hit 1),7-8,54,12,27,26,80,,,,,,,,,,"Neutral 3: Blade Flurry (Full Charge, Hit 5)",82-83,-,2,366,W: 22,100
,,,,Dsmash (Hit 2),15-16,-,15,32,25,80,,,,,,,,,,"Neutral 3: Blade Flurry (Full Charge, Final Hit)",93-94,-,17,40,40,105
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,Side 1: Airborne Assault (No Charge),32-,95,9,50,90,75
,,,,Standing Grab,6-7,29,,,,,,,,,,,,,,Side 1: Airborne Assault (Full Charge),63-,136,9,50,90,75
,,,,Dash Grab,8-9,36,,,,,,,,,,,,,,Side 2: Surging Slash (No Charge),13-,62,6,55,70,88
,,,,Pivot Grab,9-10,34,,,,,,,,,,,,,,Side 2: Surging Slash (Full Charge),-,-,6,55,70,88
,,,,Throws,Weight Dependent?,Base Dmg. (+SD),Angle,BKB,KBG,,,,,,,,,,,Side 3: Chakram,18-,53,-,-,-,-
,,,,Fthrow,No,"3, 3",45,60,110,,,,,,,,,,,Up 1: Stone Scabbard (Hit 1),13-15,-,-,-,-,-
,,,,Bthrow,No,"3, 3",45,60,130,,,,,,,,,,,Up 1: Stone Scabbard (Hit 2),42-,-,-,-,-,-
,,,,Uthrow,No,"3, 2",80,50,100,,,,,,,,,,,Up 1: Stone Scabbard (Landing),1-,-,-,-,-,-
,,,,Dthrow,No,"2, 2",80,75,120,,,,,,,,,,,Up 2: Skyward Slash Dash (Hit 1),24,-,2,110,28,30
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,Up 2: Skyward Slash Dash (Hit 2-6),"29-30, 33-34, 37-38, 41-42, 45-46",-,1,366/55/366/45,30/50/30/80,30
,,,,Spotdodge,3-18,28,,,,,,,,,,,,,,Up 2: Skyward Slash Dash (Hit 7),49-50,-,5,45,70,104
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,"Up 3: Hero's Spin (No Charge, Early)",8-9,79,14/13/9,45,60,90
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,Up 3: Hero's Spin (No Charge),10-14,-,12/11/7,361,55,80
,,,,Airdodge,3-28,34,,,,,,,,,,,,,,"Up 3: Hero's Spin (No Charge, Late)",15-24,-,9/9/7,361,55,80
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (No Charge, Latest)",25-40,-,7/7/5,361,20,80
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 1)",8,-,4,85/80/366,W: 70/100/85,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 2)",11,-,2,120,W: 90,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 3)",16,-,2,366/82/45,W: 60/100/85,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 4)",19,-,2,120,W: 90,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 5)",22,-,2,366/90/45,W: 50/100/85,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 6)",26,-,2,120,W: 90,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 7)",31,-,2,90/90/50,W: 45/80/85,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 8)",38,-,2,120,W: 90,100
,,,,,,,,,,,,,,,,,,,,"Up 3: Hero's Spin (Air, Hit 9)",47-48,-,4,361,30,200
,,,,,,,,,,,,,,,,,,,,Down 1: Blade Counter,Counters: 6-29,60,-,-,-,-
,,,,,,,,,,,,,,,,,,,,Down 1: Blade Counter (On Hit),"16 Freeze Frames, (Intangible: 1-16)",-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,Down 1: Blade Counter (Attack),6-7 (Intangible: 1-8),50,8 (1.25×),48,90,70
,,,,,,,,,,,,,,,,,,,,Down 2: Reversal Slash,12-14 (Reflects: 6-22?),38,6,110,W: 60,100
,,,,,,,,,,,,,,,,,,,,"Down 3: Power Thrust (Early, Ground)",14-16,62,10/13,35,50,70/80
,,,,,,,,,,,,,,,,,,,,Down 3: Power Thrust (Ground),17-24,-,8/11,37,50,70/80
,,,,,,,,,,,,,,,,,,,,"Down 3: Power Thrust (Late, Ground)",25-32,-,8,50,50,70
,,,,,,,,,,,,,,,,,,,,"Down 3: Power Thrust (Early, Air)",16-18,66,10/13,361,40,70/80
,,,,,,,,,,,,,,,,,,,,Down 3: Power Thrust (Air),19-26,-,8/11,361,40,65/77
,,,,,,,,,,,,,,,,,,,,"Down 3: Power Thrust (Late, Air)",27-34,-,5.5/8,361,40,60/70
,,,,,,,,,,,,,,,,,,,,"Down 3: Power Thrust (Air, Landing)",2-3,-,7,80,80,20
