Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
Weight,94 [33-36th],Max Jumps,2,Jab 1,3-4,20,2,361,8,50,Nair,5-12,36,11,361.0,20.0,100.0,18,"1-4, 26>",PK Trash (No Charge),43,69,9,70,10,70
Run Speed,1.46265 [45th],Wall Jump,No,Jab 2,3-4,20,2,70,8,50,Nair (Late),13-15,-,7,361.0,10.0,100.0,-,-,PK Trash (Fully Charged),149,175,37,70,10,70
Walk Speed,0.8635 [51st],Wall Cling,No,Jab 3,6-9,30,4,361,40,100,Fair,8-18 (Rehit Rate: 4),40,1 (+1),366.0,16.0,60.0,20,"1-7, 33>",PK Fire,21-38,59,4,80,80,30
Air Speed,0.9588 [41st],Crawl,No,Dash Attack (Hit 1),8,40,4 (+1)/7 (+1)/3,0/80/45,0/60/80,100/70/100,Fair (Final Hit),20,-,4 (+1),361.0,32.0,150.0,-,-,PK Fire (Pillar),(Rehit rate: 6),-,2/1,68,10,30
Fall Speed,1.31 [48th],Tether,No,Dash Attack (Hit 2),15,-,2 (+1),20,W: 70,100,Bair,10-11,36,15,361.0,16.0,100.0,17,"1-9, 25>",PK Thunder (Head),20-137,-,8,110,70,50
Fast Fall Speed,2.096 [48th],Jumpsquat,5 frames,Dash Attack (Hit 3),22,-,4 (+1),80,80,104,Bair (Late),12-18,-,8,361.0,0.0,100.0,-,-,PK Thunder (Tail),-,-,1,-,-,-
Air Acceleration,0.09,Soft Landing Lag,2 frames,Ftilt (Angled Up),7-10,35,10,361,12,100,Uair,8-11,42,13,85.0,13.0,109.0,14,"1-7, 27>",PK Thunder 2,1-10 (Intangible: 1-9),-,25,361,83,80
Gravity,0.077,Hard Landing Lag,4 frames,Ftilt,7-10,-,9,361,12,100,Dair,20-21,60,12,270.0,20.0,70.0,28,"1-19, 50>",PK Thunder 2 (Late),11-32,-,21,361,45,70
SH Air Time,42 frames,FH Air Time,64 frames,Ftilt (Angled Down),7-10,-,10,361,12,100,Dair (Late),22-25,-,10,45.0,30.0,70.0,-,-,PSI Magnet,18,30,0,361,W: 11,100
,,,,Utilt,7-8,32,7/5,96,42,126,,,,,,,,,,,,,,,,
,,,,Dtilt,3-4,14 (Dtilt: 6),4/2,0,20,3/6,,,,,,,,,,,,,,,,
,,,,Fsmash,"21-22 (Reflects: ?, 2.0×, 80% Break Threshold)",55,18/20/22,361,70,67,,,,,,,,,,,,,,,,
,,,,Usmash,6-11,56,9,80,90,60,,,,,,,,,,,,,,,,
,,,,Usmash (Late),12-30,-,13,80,70,60,,,,,,,,,,,,,,,,
,,,,Dsmash,10-15 (Rehit Rate: 4),46,1,366,W: 12,100,,,,,,,,,,,,,,,,
,,,,Dsmash,17-18,-,10,28,60,80,,,,,,,,,,,,,,,,
,,,,Dsmash,23-25,-,1,45,W: 14,100,,,,,,,,,,,,,,,,
,,,,Dsmash,26-29,-,1,80,W: 14,100,,,,,,,,,,,,,,,,
,,,,Dsmash,31-32,-,10,33,50,80,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,6-7,35,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,8-9,43,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,10-11,41,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg. (+SD),Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,11,45,120,10,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,11,135,15,130,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,10,90,105,40,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"0.6%×5, 4",70,70,80,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-18,28,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-28,34,,,,,,,,,,,,,,,,,,,,
