Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,91 [39-40th],Max Jumps,2,Jab 1,8-10,26,3,80,30,60,Nair,5-27 (Rehit rate: 5),52,1.7 (+1),366/366/100/100,W: 20,100.0,20,"1-3, 40>",Autoreticle (Target),8,68,-,-,-,-
Run Speed,1.888 [13th],Wall Jump,No,Rapid Jab,-,-,0.8,60/110,10,20,Nair (Final Hit),31-32,-,5 (+3),55,30,180.0,-,-,Autoreticle (Projectiles),"29-, 35-, 41-",-,2.9,361,20,42
Walk Speed,1.21 [14th],Wall Cling,No,Rapid Jab Finisher,3-4,43,3.5,361,55,140,Fair,9-11,45,9 (+3),45,31,92.0,12,"1-3, 24>",Reflect Barrier,"8 (Unblockable), Reflects: 9-66 (1.17×, 50% Break Threshold)",56,5,25,10,70
Air Speed,0.91 [49th],Crawl,No,Dash Attack,6-9 (Partial Body Invincibility: 4-15),52,9 (+3),70/60,70,90,Bair,8-10 (Partial Body Invincibility: 3-10),50,12/9 (+3),361,30,92.0,16,"1-2, 35>",Warp,Invisible: 16-31,67,-,-,-,-
Fall Speed,1.4 [40-41st],Tether,No,Dash Attack (Late),10-17,-,5,60,60,70,Uair,8-23 (Rehit rate: 5),52,1,105/366/366/366,40/20/20/20,100.0,24,"1-2, 64>",Counter,Counters: 10-31 (Invincible: 10-16),75,-,-,-,-
Fast Fall Speed,2.24 [39-41st],Jumpsquat,5 frames,Ftilt (Hit 1),17-24 (Cannot Rebound),68,6/4 (+1),48,43,65,Uair (Final Hit),25-26,-,5,88/65/65,50,152.0,-,-,Counter (Attack),4-6 (Invincible: 1-5),56,10 (1.3×),361,40/20,75/65
Air Acceleration,0.1,Soft Landing Lag,2 frames,Ftilt (Hit 2),25-39 (Cannot Rebound),-,6/4 (+1),361,43,100,Dair,10,59,9,270/55,20/30,100.0,18,"1-2, 48>",,,,,,,
Gravity,0.105,Hard Landing Lag,4 frames,Utilt,"10-38 (Rehit rate: 5, Cannot Rebound)",68,1.2 (+1),366/190/366,W: 20/30/50,100,,,,,,,,,,,,,,,,
SH Air Time,37 frames,FH Air Time,58 frames,Utilt (Final Hit),40-41 (Cannot Rebound),-,2.5/1.5 (+1),85,60,195,,,,,,,,,,,,,,,,
,,,,Dtilt,14-24 (Cannot Rebound),40,8.5/5 (+1),361/70,40/38,100,,,,,,,,,,,,,,,,
,,,,Fsmash,18-19,67,16/13 (+1),361,40,97/96,,,,,,,,,,,,,,,,
,,,,Fsmash (Windboxes),20-25,-,0,361,W: 40,100,,,,,,,,,,,,,,,,
,,,,"Fsmash (Windboxes, Late)",26-31,-,0,361,W: 26,100,,,,,,,,,,,,,,,,
,,,,Usmash,18-26,68,16/12/9,88,53/55/55,84/85/87,,,,,,,,,,,,,,,,
,,,,Dsmash,17,72,15,60,40,103,,,,,,,,,,,,,,,,
,,,,Dsmash (Late),18-19,-,13,28,30,90,,,,,,,,,,,,,,,,
,,,,Dsmash (Windbox),20-27,-,0,361,32,100,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,Base Dmg.,Notes,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,7-8,32,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,9-10,40,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,10-11,40,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,No,9,45,90,30,,,,,,,,,,,,,,,,,
,,,,Bthrow,No,10,361,65,70,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,8,92,90,60,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,5,70,90,25,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-18,28,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-29,34,,,,,,,,,,,,,,,,,,,,
