Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,79 [46-48th],Max Jumps,2,Jab 1,2-3,22,1.4/1.2/1,0,10/9/8,45.0,Nair,3-5,39,8.5,361,30,104.0,25,35>,Thunder Jolt (Air),19-116,58,4.8,361.0,45,30.0
Run Speed,1.85325 [15th],Wall Jump,Yes,Dash Attack,6-9,50,10,60,70,90.0,Nair (Late),6-20,-,5.5,45,20,100.0,-,-,"Thunder Jolt (Arc, Early)",1-30,-,6/5,361.0,25/13,20.0
Walk Speed,1.24 [12th],Wall Cling,No,Dash Attack (Late),10-16,-,6,70,100,50.0,Fair (Hits 1-4),"10-12, 14-16, 18-20, 22-24",42,1.7,74/280,W: 50,100.0,15,"1-4, 32>",Thunder Jolt (Arc),31-60,-,5/4,361.0,25/13,20.0
Air Speed,0.9118 [48th],Crawl,Yes,Ftilt (Angled Up),6-8,30,10,361,15,100.0,Fair,26,-,3,48,50,150.0,-,-,"Thunder Jolt (Arc, Late)",61-81?,-,4/3,361.0,25/13,20.0
Fall Speed,1.55 [30th],Tether,No,Ftilt,6-8,-,9,361,15,100.0,Bair (Hits 1-7),"4-5, 8-9, 12-13, 16-17, 20-21, 24-25, 28-29",59,0.8,366,W: 40,100.0,30,"1-3, 48>",Skull Bash,18-53,97,6,361.0,40,62.0
Fast Fall Speed,2.48 [29th],Jumpsquat,4 frames,Ftilt (Angled Down),6-8,-,8,361,15,100.0,Bair (Hit 8),32-33,-,3,45,40,180.0,-,-,Quick Attack (Hit 1),15- (Cannot Rebound),-,2 (+5),70.0,20,50.0
Air Acceleration,0.09,Soft Landing Lag,2 frames,Utilt,7-13,27,5,105/105/110,40/45/45,120.0,Bair (Landing),1-2,-,4,361,50,80.0,-,-,Quick Attack (Hit 2),43-,-,3 (+5),70.0,20,150.0
Gravity,0.095,Hard Landing Lag,4 frames,Dtilt,7-8,19,6,361,12,100.0,Uair,4-6,27,5/5/4,68,50,113.0,24,"1-3, 18>",Thunder (Cloud),13-15,-,6,270.0,74,60.0
SH Air Time,38 frames,FH Air Time,58 frames,Fsmash (Early),15-17,49,15,45,50,73.0,Uair (Late),7-8,-,4,55,40,80.0,-,-,Thunder (Projectile),16-85,-,8,70.0,74,60.0
,,,,Fsmash,18-20,-,18,45,60,75.0,Dair,14-26,48,12,361,20,84.0,40,39>,Thunder (Contact),34-36 (Invincible: 34-44),75,15,361.0,70,66.0
,,,,Fsmash (Late),21-22,-,12,45,40,102.0,Dair (Landing),1-2,-,4,361,50,100.0,-,-,,,,,,,
,,,,Usmash (Early),10-11,45,14/13/13,87,50,89.0,,,,,,,,,,,,,,,,
,,,,Usmash,12-13,-,11,85,30/30/10,90.0,,,,,,,,,,,,,,,,
,,,,Usmash (Late),14-17,-,7,80,55,48.0,,,,,,,,,,,,,,,,
,,,,Dsmash (Hits 1-5),"8-9, 11-12, 14-15, 17-18, 20-21",66,2,170/170/90,65/65/30,30.0,,,,,,,,,,,,,,,,
,,,,Dsmash (Hit 6),23,-,3,50,55,190.0,,,,,,,,,,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,6-7,28,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,8-9,35,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,9-10,33,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,No,"2%×4, 2",45,55,110,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,9,135,85,50,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,"1, 3",90,48,150,,,,,,,,,,,,,,,,,
,,,,Dthrow,No,"3, 5",80,60,100,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-15,25,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-14,27,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-14,27,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-25,31,,,,,,,,,,,,,,,,,,,,
