Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg.,Angle,BKB/WBKB,KBG
Weight,95 [29-32nd],Max Jumps,2,Jab 1,5-7,23,7.5/7.5/4.8,62/62/38,40/40/32,60,Nair (Hit 1),6-7,46,6/4/6,80,30,30,11,47>,Flare Blade (Uncharged),23-26,45,5 (6 in-game),49,40,110
Run Speed,1.95 [11th],Wall Jump,No,Dash Attack,13-16,50,13/9,52/361,65/60,82/60,Nair (Hit 2),15-21,-,8.5/8.5/5,50,50,100,-,-,Flare Blade (Charged),262-265,284,50/36 (10 Self-Inflicted),361,50,83/70
Walk Speed,1.15 [24-27th],Wall Cling,No,Ftilt,8-10,32,12.5/9/8,361,30/40/40,100/80/80,Fair,10-12,30,11/11/11/7,361,50,80,13,33>,Double Edge Dance,6-8,42,3/2/2,50/91/110,40/30/30,50/75/75
Air Speed,1.24 [4th],Crawl,No,Utilt (Early),6,39,12/12/12/7,98/98/98/65,35/35/35/30,103/103/103/100,Bair,8-10,36,12/12/9,361,30/30/10,100,16,"1-2, 32>",Double Edge Dance 2 (Up),7-10,39,3/2/2,40/75/90,28,50
Fall Speed,1.8 [5-8th],Tether,No,Utilt,7-8,-,12/12/7,98/98/65,35/35/30,103/103/100,Uair,5-12,42,9/9/9/6,80/80/80/90,40/40/40/10,80/80/80/70,14,"1-2, 38>",Double Edge Dance 2,9-10,39,3/2/2,60/80/85,35,50
Fast Fall Speed,2.9 [6th],Jumpsquat,5 frames,Utilt (Late),9-11,-,12/7,98/65,35/30,103/100,Dair,16-17,52,15/15/10,270/80/80,20/20/30,90/90/90,23,"1-2, 55>",Double Edge Dance 3 (Up),8-9,44,4/3/3/3,60/80/88/93,40,50
Air Acceleration,0.03,Soft Landing Lag,2 frames,Dtilt,7-8,22,11/6.5,30,50/40,40,,,,,,,,,,"Double Edge Dance 3 (Up, Late)",10,-,4/3/3,60/80/88,40,50
Gravity,0.114,Hard Landing Lag,5 frames,Fsmash,14-15,55,20/17/12,361,70/70/30,70,,,,,,,,,,Double Edge Dance 3,6-8,44,4/3/3,40/50/55,40,50
SH Air Time,30 frames,FH Air Time,48 frames,Usmash (Hit 1),12 (Arm Intangible: 10-23),59,1,101/116,W: 120/150,100,,,,,,,,,,Double Edge Dance 3 (Down),8-10,44,4/3,20,30,40
,,,,"Usmash (Hit 1, Late)",13,-,2,98/260,W: 95/60,100,,,,,,,,,,Double Edge Dance 4 (Up),11-15,51,7/5/5,80,60,118
,,,,Usmash (Hit 2-4),"15, 17, 19",-,2,98/260,W: 95/60,100,,,,,,,,,,Double Edge Dance 4,13-15,56,6/4/4,361,60,130
,,,,Usmash (Hit 5),22-23,-,10,90,70,90,,,,,,,,,,"Double Edge Dance 4 (Down, Hits 1-4)","13-14, 19-20, 25-26, 31-32",72,2,80,2,40
,,,,Dsmash (Hit 1),6-7,63,15/10/10,50/361/361,42/15/15,85/90/90,,,,,,,,,,"Double Edge Dance 4 (Down, Hit 5)",37-38,-,5/3/3,361,70,80
,,,,Dsmash (Hit 2),21-22,-,17/11/11,47/361/361,42/15/15,85/90/90,,,,,,,,,,Blazer (Hit 1),"9 (Intangible: 9, Super Armor: 4-10)",-,5.5,84,W: 160/120,100
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,Blazer,11-19 (Rehit rate: 3),-,1.1,366,W: 160/160/120/120,100
,,,,Standing Grab,7-8,30,,,,,,,,,,,,,,Blazer (Final Hit),20-21,-,8,70,40,130
,,,,Dash Grab,8-9,37,,,,,,,,,,,,,,"Blazer (Hit 1, Aerial)",9 (Intangible: 9),-,4.5,84,W: 160/120,100
,,,,Pivot Grab,9-10,35,,,,,,,,,,,,,,Blazer (Aerial),11-19 (Rehit rate: 3),-,1,366,W: 160/160/120/120,100
,,,,Throws,Weight Dependent?,Base Dmg.,Angle,BKB,KBG,,,,,,,,,,,"Blazer (Final Hit, Aerial)",20-21,-,6,70,40,120
,,,,Fthrow,Yes,5,45,70,45,,,,,,,,,,,Counter,Counters: 8-27 (Intangible: 8-10),60,-,-,-,-
,,,,Bthrow,Yes,5,117,70,45,,,,,,,,,,,Counter (On Hit),"16 Freeze Frames, Intangible 1-16",-,-,-,-,-
,,,,Uthrow,Yes,6,97,60,100,,,,,,,,,,,Counter (Attack),5-6 (Intangible: 1-5),37,9 (1.35×),361,35,100/70
,,,,Dthrow,Yes,5,80,65,60,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-17,27,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,30,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,30,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-27,33,,,,,,,,,,,,,,,,,,,,
