Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
Weight,93 [37-38th],Max Jumps,2,Jab 1,6-7,20,3,50/80/88,35/25/W: 26,34/34/100,Nair (Hit 1),6-7,42,8.5,361.0,20,100.0,12,"1-2, 41>",Hero's Bow (No Charge),18-,42,4,361,8,50
Run Speed,1.7325 [20th],Wall Jump,Yes,Jab 2,6-7,21,2,60/82/100,22,20,Nair (Hit 2),13-14,-,7.0,361.0,20,100.0,-,-,Hero's Bow (Full Charge),61-,85,5,361,8,50
Walk Speed,1.2265 [13th],Wall Cling,No,Jab 3,6-10,37,4,48,55,100,Fair,14-15,39,13.0,361.0,35,98.0,18,"1-3, 51>",Boomerang,27-35,46,8,70,50,50
Air Speed,0.94 [44-45th],Crawl,No,Dash Attack,9-11,40,8/6/8,65,70,70,Bair,7-9,46,11.0,60.0,18,117.0,17,38>,Boomerang (Late),36-,-,5,65,50,50
Fall Speed,1.28 [52nd],Tether,Yes,Ftilt,9-13,34,9,361/20/20,25,102,Uair,11-13,60,14.0,80.0,25,95.0,21,"1-5, 47>",Spin Attack (No Charge),9-17 (Rehit rate: 4),81,1,180/180/180/80,W: 50/50/50/10,100
Fast Fall Speed,2.048 [52nd],Jumpsquat,5 frames,Utilt,8-12,26,5,95/85/105,30,140,Uair (Late),14-40,-,11.0,80.0,25,95.0,-,-,Spin Attack (No Charge),18-49 (Rehit rate: 5),-,1,180/180/180/80,W: 40/40/30/10,100
Air Acceleration,0.08,Soft Landing Lag,2 frames,Dtilt,9-10,23,7,361,30,88,Dair,17-25,80,16.0,268.0,40,80.0,40,"1-5, 65>","Spin Attack (No Charge, Final Hit)",51,-,3,55,70,141
Gravity,0.079,Hard Landing Lag,4 frames,Fsmash (Hit 1),15-17,49,10,75/55/47/40,49/54/56/60,10,Dair (Late),26-64,-,12.0,50.0,40,100.0,-,-,"Spin Attack (Air, Hit 1)",8-10,-,4,366,W: 90,100
SH Air Time,41 frames,FH Air Time,63 frames,Fsmash (Hit 2),12-14,50,11,40,32/32/25,130,Dair (Landing),1-4,-,5.0,30.0,20,100.0,-,-,"Spin Attack (Air, Hit 2)",16-18,-,2,366,W: 88,100
,,,,Usmash (Early),11,43,13,100/96/96,43,94,"Dair (Landing, Windbox)",1 (Ground Only),-,0.0,0.0,W: 58/35,100.0,-,-,"Spin Attack (Air, Hit 3)",22-24,-,2,366,W: 77,100
,,,,Usmash,12-13,-,13,96,30/43/43,93/94/94,Zair,11-20,75,4.0,45.0,60,30.0,8,-,"Spin Attack (Air, Hit 4)",31-33,-,2,85,W: 80,100
,,,,Usmash (Late),14-17,-,10,96,30/43/43,93/94/94,,,,,,,,,,"Spin Attack (Air, Hit 5)",44-48,-,4,45,40,170
,,,,Dsmash (Hit 1),9-10,50,7/6/6,70/170/168,40/W: 60/120,100,,,,,,,,,,Bomb,Bomb Generated: Frame 17,40,-,-,-,-
,,,,Dsmash (Hit 2),17-18,-,7/6,50,60,127,,,,,,,,,,Bomb,Explodes 299 Frames from Generation,-,-,70,40,80
,,,,Grabs,Hitbox Active,FAF,,,,,,,,,,,,,,,,,,,,
,,,,Standing Grab,12-18,62,,,,,,,,,,,,,,,,,,,,
,,,,Dash Grab,14-20,72,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,15-21,72,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg. (+SD),Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,No,"3, 4",45,60,110,,,,,,,,,,,,,,,,,
,,,,Bthrow,No,7,130,60,120,,,,,,,,,,,,,,,,,
,,,,Uthrow,No,"5, 2",92,25,220,,,,,,,,,,,,,,,,,
,,,,Dthrow,Yes,"3, 4",110,60,110,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,2-15,25,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-14,27,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-14,27,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,2-25,31,,,,,,,,,,,,,,,,,,,,
