Statistic,Value/Rank,Statistic.1,Value/Rank.1,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG,Landing Lag,Autocancel,Attacks,Hitbox Active,FAF,Base Dmg. (+SD),Angle,BKB/WBKB,KBG
Weight,97 [25-26th],Max Jumps,2,Jab 1,3-4,22,3,60/80,10,80.0,Nair,3-10,36,9.0,361,20,100,14,"1-2, 27>",Pocket,Grabs: 8- (Intangible: 5-23),51,-,-,-,-
Run Speed,1.27 [55th],Wall Jump,Yes,Jab 2,3-4,24,3,60/80,20,120.0,Nair (Late),11-23,-,5.0,361,20,100,-,-,Lloid Rocket,52-,38,7,55,30,100
Walk Speed,1.04 [40th],Wall Cling,No,Dash Attack,14-19,55,10,70,65,60.0,Fair (Early),10-11,40,7.0,361,55,100,23,"1-7, 30>",Lloid Rocket (Late),?,-,5,361,20,80
Air Speed,0.94 [44-45th],Crawl,No,Dash Attack (Late),20-28,-,6,70,65,60.0,Fair,12-17,-,4.0,361,10,100,-,-,Lloid Rocket (Ride),-,-,16,-,-,-
Fall Speed,1.32 [47th],Tether,No,Ftilt,8-11,37,9,361,30,90.0,Fair (Late),18-23,-,2.5,361,10,100,-,-,"Lloid Rocket (Ride, Late)",-,-,11,-,-,-
Fast Fall Speed,2.112 [47th],Jumpsquat,5 frames,Utilt (Hit 1),7-20,50,6,105/105/96,W: 60/60/12,100.0,Bair (Early),13-14,36,9.0,361,55,100,23,"1-9, 25>",Balloon Trip,-,-,-,-,-,-
Air Acceleration,0.05,Soft Landing Lag,2 frames,Utilt (Hit 2),24-27,-,5,80,50,160.0,Bair,15-20,-,5.0,361,10,100,-,-,Timber (Planting),Planted on:,44,-,-,-,-
Gravity,0.078,Hard Landing Lag,4 frames,Dtilt,9-10,35,13/8,80/70,40,90.0,Bair (Late),21-26,-,3.0,361,10,100,-,-,Timber (Watering Can),-,55,0,55,W: 60,100
SH Air Time,40 frames,FH Air Time,61 frames,Fsmash (Flat Ground),25-29,50,15,45,70,100.0,Uair (Triple),6-7,43,13.0,85,30,100,15,"1-5, 39>",Timber (Axe),6-8,48,14 (+6),361,30,100
,,,,Fsmash (Off Ledge),25-29,-,15,45,70,100.0,"Uair (Triple, Late)",8-31,-,6.0,85,30,100,-,-,Timber (Chop),-,51,-,-,-,-
,,,,"Fsmash (Off Ledge, Late)",30-,-,17,45,70,100.0,Uair (Double),6-7,-,10.0,85,30,100,-,-,Timber (Growing),13-18 (Low Priority),-,18 (+6),80,30,100
,,,,Usmash (Hit 1),12-13,54,3,95,W: 140,100.0,"Uair (Double, Late)",8-31,-,5.0,85,30,100,-,-,"Timber (Growing, Late)",19-39 (Low Priority),-,13 (+6),80,30,100
,,,,Usmash (Hit 2-5),"17-18, 21-22, 25-26, 29-30",-,1,100,30,80.0,Uair (Single),6-7,-,8.0,85,30,100,-,-,Timber (Falling),14- (Low Priority),-,25 (+6),60,30,100
,,,,Usmash (Hit 6),33-34,-,4,90,30,205.0,"Uair (Single, Late)",8-31,-,4.0,85,30,100,-,-,,,,,,,
,,,,Dsmash (Hit 1),8,48,6,70,0,80.0,Dair (Triple),8-9,46,13.0,270/45,20/30,80/100,15,"1-7, 39>",,,,,,,
,,,,"Dsmash (Hit 1, Late)",9-10 (Ground Only),-,3,70,0,50.0,"Dair (Triple, Late)",10-31,-,6.0,45,30,100,-,-,,,,,,,
,,,,Dsmash (Hit 2),29,-,6,70,0,80.0,Dair (Double),8-9,-,10.0,45,30,100,-,-,,,,,,,
,,,,"Dsmash (Hit 2, Late)",30-31 (Ground Only),-,3,70,0,50.0,"Dair (Double, Late)",10-31,-,5.0,45,30,100,-,-,,,,,,,
,,,,Grabs,Hitbox Active,FAF,,,,,Dair (Single),8-9,-,8.0,45,30,100,-,-,,,,,,,
,,,,Standing Grab,15-16,56,,,,,"Dair (Single, Late)",10-31,-,4.0,45,30,100,-,-,,,,,,,
,,,,Dash Grab,16-17,70,,,,,,,,,,,,,,,,,,,,
,,,,Pivot Grab,17-18,66,,,,,,,,,,,,,,,,,,,,
,,,,Throws,Weight Dependent?,Base Dmg. (+SD),Angle,BKB,KBG,,,,,,,,,,,,,,,,,
,,,,Fthrow,Yes,9,45,102,10,,,,,,,,,,,,,,,,,
,,,,Bthrow,Yes,11,135,18,110,,,,,,,,,,,,,,,,,
,,,,Uthrow,Yes,10,90,105,40,,,,,,,,,,,,,,,,,
,,,,Dthrow,Yes,6,70,60,80,,,,,,,,,,,,,,,,,
,,,,Miscellaneous,Intangibility,FAF,Notes,,,,,,,,,,,,,,,,,,,
,,,,Spotdodge,3-18,28,,,,,,,,,,,,,,,,,,,,
,,,,Forward Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Back Roll,4-17,31,,,,,,,,,,,,,,,,,,,,
,,,,Airdodge,3-28,34,,,,,,,,,,,,,,,,,,,,
